time,heart,breath,gsr,date
154631,2269,1584,1442,2019-03-11_12:54:51.240000
154731,2256,1559,1437,2019-03-11_12:54:51.360000
154831,2288,1563,1440,2019-03-11_12:54:51.481000
154931,2279,1585,1446,2019-03-11_12:54:51.601000
155031,2259,1562,1418,2019-03-11_12:54:51.717000
155131,2275,1562,1422,2019-03-11_12:54:51.836000
155231,2270,1563,1425,2019-03-11_12:54:51.961000
155331,2262,1558,1426,2019-03-11_12:54:52.046000
155431,2263,1558,1431,2019-03-11_12:54:52.122000
155531,2273,1569,1422,2019-03-11_12:54:52.212000
155631,2277,1558,1422,2019-03-11_12:54:52.311000
155731,2277,1563,1404,2019-03-11_12:54:52.385000
155831,2283,1567,1421,2019-03-11_12:54:52.432000
155931,2290,1586,1435,2019-03-11_12:54:52.532000
156031,2265,1558,1422,2019-03-11_12:54:52.647000
156131,2277,1562,1426,2019-03-11_12:54:52.768000
156231,2273,1568,1428,2019-03-11_12:54:52.844000
156331,2273,1573,1424,2019-03-11_12:54:52.968000
156431,2275,1535,1424,2019-03-11_12:54:53.047000
156531,2285,1561,1424,2019-03-11_12:54:53.174000
156631,2288,1569,1410,2019-03-11_12:54:53.259000
156731,2279,1562,1413,2019-03-11_12:54:53.342000
156831,2285,1559,1404,2019-03-11_12:54:53.430000
156931,2279,1566,1424,2019-03-11_12:54:53.555000
157031,2286,1565,1418,2019-03-11_12:54:53.668000
157131,2293,1558,1429,2019-03-11_12:54:53.803000
157231,2295,1585,1437,2019-03-11_12:54:53.893000
157331,2279,1557,1422,2019-03-11_12:54:54.006000
157431,2289,1557,1426,2019-03-11_12:54:54.131000
157531,2295,1563,1419,2019-03-11_12:54:54.230000
157631,2282,1565,1424,2019-03-11_12:54:54.275000
157731,2279,1557,1417,2019-03-11_12:54:54.370000
157831,2279,1558,1408,2019-03-11_12:54:54.470000
157931,2298,1564,1408,2019-03-11_12:54:54.569000
158031,2301,1562,1406,2019-03-11_12:54:54.669000
158131,2301,1561,1406,2019-03-11_12:54:54.770000
158231,2315,1557,1406,2019-03-11_12:54:54.832000
158331,2323,1561,1408,2019-03-11_12:54:54.934000
158431,2314,1558,1397,2019-03-11_12:54:55.063000
158531,2321,1556,1403,2019-03-11_12:54:55.197000
158631,2311,1556,1406,2019-03-11_12:54:55.270000
158731,2310,1563,1406,2019-03-11_12:54:55.331000
158831,2313,1585,1412,2019-03-11_12:54:55.428000
158931,2310,1582,1413,2019-03-11_12:54:55.528000
159031,2288,1558,1405,2019-03-11_12:54:55.629000
159131,2311,1563,1410,2019-03-11_12:54:55.763000
159231,2337,1558,1406,2019-03-11_12:54:55.904000
159331,2257,1558,1417,2019-03-11_12:54:56.021000
159431,2263,1535,1402,2019-03-11_12:54:56.107000
159531,2285,1584,1399,2019-03-11_12:54:56.198000
159631,2263,1584,1422,2019-03-11_12:54:56.281000
159731,2275,1588,1413,2019-03-11_12:54:56.362000
159831,2284,1588,1424,2019-03-11_12:54:56.428000
159931,2287,1585,1404,2019-03-11_12:54:56.532000
160031,2293,1583,1416,2019-03-11_12:54:56.660000
160131,2285,1586,1408,2019-03-11_12:54:56.751000
160231,2275,1562,1408,2019-03-11_12:54:56.830000
160331,2275,1558,1392,2019-03-11_12:54:56.924000
160431,2303,1584,1407,2019-03-11_12:54:57.028000
160531,2287,1584,1408,2019-03-11_12:54:57.132000
160631,2294,1584,1403,2019-03-11_12:54:57.256000
160731,2290,1558,1410,2019-03-11_12:54:57.341000
160831,2294,1584,1394,2019-03-11_12:54:57.443000
160931,2291,1584,1392,2019-03-11_12:54:57.532000
161031,2283,1583,1392,2019-03-11_12:54:57.629000
161131,2300,1535,1409,2019-03-11_12:54:57.768000
161231,2278,1589,1406,2019-03-11_12:54:57.875000
161331,2281,1561,1399,2019-03-11_12:54:57.927000
161431,2282,1562,1391,2019-03-11_12:54:58.024000
161531,2303,1586,1408,2019-03-11_12:54:58.131000
161631,2294,1559,1392,2019-03-11_12:54:58.281000
161731,2315,1584,1399,2019-03-11_12:54:58.429000
161831,2258,1559,1385,2019-03-11_12:54:58.584000
161931,2320,1563,1385,2019-03-11_12:54:58.718000
162031,2305,1578,1390,2019-03-11_12:54:58.767000
162131,2295,1571,1385,2019-03-11_12:54:58.815000
162231,2301,1563,1376,2019-03-11_12:54:58.892000
162331,2291,1561,1386,2019-03-11_12:54:58.949000
162431,2290,1585,1397,2019-03-11_12:54:59.026000
162531,2289,1559,1396,2019-03-11_12:54:59.123000
162631,2256,1558,1377,2019-03-11_12:54:59.222000
162731,2299,1564,1376,2019-03-11_12:54:59.326000
162831,2315,1563,1359,2019-03-11_12:54:59.423000
162931,2289,1562,1370,2019-03-11_12:54:59.523000
163031,2327,1567,1372,2019-03-11_12:54:59.626000
163131,2311,1559,1391,2019-03-11_12:54:59.728000
163231,2285,1563,1383,2019-03-11_12:54:59.833000
163331,2273,1559,1379,2019-03-11_12:54:59.926000
163431,2303,1558,1369,2019-03-11_12:55:00.028000
163531,2243,1584,1360,2019-03-11_12:55:00.127000
163631,2307,1558,1373,2019-03-11_12:55:00.226000
163731,2310,1564,1370,2019-03-11_12:55:00.349000
163831,2320,1563,1366,2019-03-11_12:55:00.478000
163931,2327,1564,1374,2019-03-11_12:55:00.597000
164031,2353,1566,1369,2019-03-11_12:55:00.684000
164131,2306,1565,1378,2019-03-11_12:55:00.823000
164231,2298,1562,1392,2019-03-11_12:55:00.928000
164331,2283,1555,1375,2019-03-11_12:55:01.023000
164431,2287,1577,1375,2019-03-11_12:55:01.116000
164531,2327,1575,1376,2019-03-11_12:55:01.181000
