time,heart,breath,gsr,date
3230731,2365,1196,637,2019-03-17_20:14:14.569000
3230831,2367,1228,621,2019-03-17_20:14:14.697000
3230931,2359,1227,645,2019-03-17_20:14:14.806000
3231031,2367,1264,630,2019-03-17_20:14:14.876000
3231131,2359,1306,618,2019-03-17_20:14:14.958000
3231231,2366,1227,630,2019-03-17_20:14:15.058000
3231331,2363,1253,616,2019-03-17_20:14:15.166000
3231431,2357,1217,615,2019-03-17_20:14:15.292000
3231531,2359,1192,630,2019-03-17_20:14:15.419000
3231631,2367,1203,614,2019-03-17_20:14:15.541000
3231731,2366,1174,576,2019-03-17_20:14:15.623000
3231831,2374,1196,601,2019-03-17_20:14:15.711000
3231931,2383,1185,630,2019-03-17_20:14:15.789000
3232031,2384,1168,613,2019-03-17_20:14:15.864000
3232131,2384,1206,603,2019-03-17_20:14:15.960000
3232231,2389,1184,614,2019-03-17_20:14:16.060000
3232331,2389,1168,560,2019-03-17_20:14:16.158000
3232431,2394,1168,618,2019-03-17_20:14:16.260000
3232531,2407,1152,576,2019-03-17_20:14:16.358000
3232631,2405,1145,592,2019-03-17_20:14:16.459000
3232731,2409,1130,593,2019-03-17_20:14:16.556000
3232831,2403,1116,592,2019-03-17_20:14:16.660000
3232931,2407,1073,604,2019-03-17_20:14:16.759000
3233031,2413,1078,592,2019-03-17_20:14:16.859000
3233131,2413,1067,586,2019-03-17_20:14:16.959000
3233231,2413,1085,576,2019-03-17_20:14:17.059000
3233331,2416,1090,581,2019-03-17_20:14:17.160000
3233431,2415,1099,584,2019-03-17_20:14:17.261000
3233531,2413,1093,576,2019-03-17_20:14:17.358000
3233631,2409,1104,587,2019-03-17_20:14:17.462000
3233731,2406,1136,572,2019-03-17_20:14:17.561000
3233831,2415,1178,600,2019-03-17_20:14:17.659000
3233931,2416,1189,576,2019-03-17_20:14:17.759000
3234031,2421,1199,571,2019-03-17_20:14:17.857000
3234131,2430,1147,576,2019-03-17_20:14:17.960000
3234231,2416,1131,573,2019-03-17_20:14:18.061000
3234331,2410,1124,572,2019-03-17_20:14:18.159000
3234431,2414,1137,576,2019-03-17_20:14:18.257000
3234531,2403,1122,584,2019-03-17_20:14:18.389000
3234631,2405,1136,570,2019-03-17_20:14:18.470000
3234731,2395,1136,576,2019-03-17_20:14:18.560000
3234831,2391,1012,578,2019-03-17_20:14:18.669000
3234931,2406,1107,572,2019-03-17_20:14:18.817000
3235031,2406,1140,563,2019-03-17_20:14:18.900000
3235131,2405,1137,584,2019-03-17_20:14:18.982000
3235231,2403,1123,576,2019-03-17_20:14:19.059000
3235331,2404,1116,564,2019-03-17_20:14:19.160000
3235431,2407,1113,576,2019-03-17_20:14:19.259000
3235531,2406,1082,553,2019-03-17_20:14:19.359000
