date,sensor,value,time
30-10-2018,Pulse sensor, 1808.00,23:58:58.520000
30-10-2018,Pulse sensor, 1822.00,23:59:04.515000
30-10-2018,Pulse sensor, 1811.00,23:59:05.019000
30-10-2018,Pulse sensor, 1810.00,23:59:05.518000
30-10-2018,Pulse sensor, 1813.00,23:59:06.012000
30-10-2018,Pulse sensor, 1808.00,23:59:06.515000
30-10-2018,Pulse sensor, 1815.00,23:59:07.012000
30-10-2018,Pulse sensor, 1811.00,23:59:07.515000
30-10-2018,Pulse sensor, 1813.00,23:59:08.015000
30-10-2018,Pulse sensor, 1813.00,23:59:08.518000
30-10-2018,Pulse sensor, 1808.00,23:59:09.019000
30-10-2018,Pulse sensor, 1814.00,23:59:09.512000
30-10-2018,Pulse sensor, 1808.00,23:59:10.020000
30-10-2018,Pulse sensor, 1816.00,23:59:10.519000
30-10-2018,Pulse sensor, 1808.00,23:59:11.018000
30-10-2018,Pulse sensor, 1808.00,23:59:11.512000
30-10-2018,Pulse sensor, 1810.00,23:59:12.012000
30-10-2018,Pulse sensor, 1808.00,23:59:12.514000
30-10-2018,Pulse sensor, 1808.00,23:59:13.014000
30-10-2018,Pulse sensor, 1814.00,23:59:13.513000
30-10-2018,Pulse sensor, 1812.00,23:59:14.014000
30-10-2018,Pulse sensor, 1808.00,23:59:14.512000
30-10-2018,Pulse sensor, 1807.00,23:59:15.013000
30-10-2018,Pulse sensor, 1803.00,23:59:15.512000
30-10-2018,Pulse sensor, 1818.00,23:59:16.014000
30-10-2018,Pulse sensor, 1813.00,23:59:16.516000
30-10-2018,Pulse sensor, 1809.00,23:59:17.014000
30-10-2018,Pulse sensor, 1808.00,23:59:17.516000
30-10-2018,Pulse sensor, 1808.00,23:59:18.014000
30-10-2018,Pulse sensor, 1808.00,23:59:18.518000
