date,sensor,value,time
30-10-2018,Pulse sensor, 1813.00,20:55:37.340000
30-10-2018,GSR sensor, 4095.00,20:55:37.362000
30-10-2018,Breath sensor, 1200.00,20:55:37.382000
30-10-2018,Pulse sensor, 1811.00,20:55:37.837000
30-10-2018,GSR sensor, 4095.00,20:55:37.855000
30-10-2018,Breath sensor, 1181.00,20:55:37.876000
30-10-2018,Pulse sensor, 1813.00,20:55:38.337000
30-10-2018,GSR sensor, 4095.00,20:55:38.356000
30-10-2018,Breath sensor, 1198.00,20:55:38.377000
30-10-2018,Pulse sensor, 1810.00,20:55:38.832000
30-10-2018,GSR sensor, 4095.00,20:55:38.846000
30-10-2018,Breath sensor, 1193.00,20:55:38.862000
30-10-2018,Pulse sensor, 1808.00,20:55:39.337000
30-10-2018,GSR sensor, 4095.00,20:55:39.355000
30-10-2018,Breath sensor, 1248.00,20:55:39.375000
30-10-2018,Pulse sensor, 1815.00,20:55:39.837000
30-10-2018,GSR sensor, 4095.00,20:55:39.857000
30-10-2018,Breath sensor, 1232.00,20:55:39.877000
30-10-2018,Pulse sensor, 1811.00,20:55:40.336000
30-10-2018,GSR sensor, 4095.00,20:55:40.354000
30-10-2018,Breath sensor, 1219.00,20:55:40.373000
30-10-2018,Pulse sensor, 1817.00,20:55:40.836000
30-10-2018,GSR sensor, 4095.00,20:55:40.854000
30-10-2018,Breath sensor, 1213.00,20:55:40.874000
30-10-2018,Pulse sensor, 1808.00,20:55:41.336000
30-10-2018,GSR sensor, 4095.00,20:55:41.358000
30-10-2018,Breath sensor, 1202.00,20:55:41.378000
30-10-2018,Pulse sensor, 1813.00,20:55:41.836000
30-10-2018,GSR sensor, 4095.00,20:55:41.856000
30-10-2018,Breath sensor, 1200.00,20:55:41.875000
30-10-2018,Pulse sensor, 1809.00,20:55:42.337000
30-10-2018,GSR sensor, 4095.00,20:55:42.356000
30-10-2018,Breath sensor, 1185.00,20:55:42.384000
30-10-2018,Pulse sensor, 1808.00,20:55:42.832000
30-10-2018,GSR sensor, 4095.00,20:55:42.845000
30-10-2018,Breath sensor, 1196.00,20:55:42.864000
30-10-2018,Pulse sensor, 1818.00,20:55:43.336000
30-10-2018,GSR sensor, 4095.00,20:55:43.354000
30-10-2018,Breath sensor, 1191.00,20:55:43.375000
30-10-2018,Pulse sensor, 1809.00,20:55:43.838000
30-10-2018,GSR sensor, 4095.00,20:55:43.858000
30-10-2018,Breath sensor, 1189.00,20:55:43.880000
30-10-2018,Pulse sensor, 1815.00,20:55:44.337000
30-10-2018,GSR sensor, 4095.00,20:55:44.356000
30-10-2018,Breath sensor, 1197.00,20:55:44.378000
30-10-2018,Pulse sensor, 1814.00,20:55:44.839000
30-10-2018,GSR sensor, 4095.00,20:55:44.861000
30-10-2018,Breath sensor, 1186.00,20:55:44.882000
30-10-2018,Pulse sensor, 1813.00,20:55:45.337000
30-10-2018,GSR sensor, 4095.00,20:55:45.355000
30-10-2018,Breath sensor, 1187.00,20:55:45.383000
30-10-2018,Pulse sensor, 1813.00,20:55:45.836000
30-10-2018,GSR sensor, 4095.00,20:55:45.855000
30-10-2018,Breath sensor, 1184.00,20:55:45.876000
30-10-2018,Pulse sensor, 1810.00,20:55:46.336000
30-10-2018,GSR sensor, 4095.00,20:55:46.354000
30-10-2018,Breath sensor, 1178.00,20:55:46.374000
30-10-2018,Pulse sensor, 1815.00,20:55:46.836000
30-10-2018,GSR sensor, 4095.00,20:55:46.857000
30-10-2018,Breath sensor, 1178.00,20:55:46.877000
30-10-2018,Pulse sensor, 1810.00,20:55:47.336000
30-10-2018,GSR sensor, 4095.00,20:55:47.355000
30-10-2018,Breath sensor, 1178.00,20:55:47.376000
