['40079', '1939.00', '1205.00', '4095.00', '2018-11-01_14:44:30.131086']
['40099', '1953.00', '1202.00', '4095.00', '2018-11-01_14:44:30.180641']
['40119', '1957.00', '1202.00', '4095.00', '2018-11-01_14:44:30.232226']
['40139', '1956.00', '1202.00', '4095.00', '2018-11-01_14:44:30.285844']
['40159', '1951.00', '1201.00', '4095.00', '2018-11-01_14:44:30.336381']
['40179', '1926.00', '1210.00', '4095.00', '2018-11-01_14:44:30.387996']
['40199', '1903.00', '1200.00', '4095.00', '2018-11-01_14:44:30.442034']
['40219', '1883.00', '1200.00', '4095.00', '2018-11-01_14:44:30.493622']
['40239', '1870.00', '1191.00', '4095.00', '2018-11-01_14:44:30.544706']
['40259', '1855.00', '1201.00', '4095.00', '2018-11-01_14:44:30.595298']
['40279', '1853.00', '1201.00', '4095.00', '2018-11-01_14:44:30.645390']
['40299', '1840.00', '1204.00', '4095.00', '2018-11-01_14:44:30.696999']
['40319', '1840.00', '1202.00', '4095.00', '2018-11-01_14:44:30.748619']
['40339', '1835.00', '1201.00', '4095.00', '2018-11-01_14:44:30.800700']
['40359', '1838.00', '1200.00', '4095.00', '2018-11-01_14:44:30.851778']
['40379', '1840.00', '1202.00', '4095.00', '2018-11-01_14:44:30.901826']
['40399', '1829.00', '1228.00', '4095.00', '2018-11-01_14:44:30.953408']
['40419', '1819.00', '1199.00', '4095.00', '2018-11-01_14:44:31.004994']
['40439', '1823.00', '1189.00', '4095.00', '2018-11-01_14:44:31.057122']
['40459', '1830.00', '1197.00', '4095.00', '2018-11-01_14:44:31.107719']
['40479', '1841.00', '1198.00', '4095.00', '2018-11-01_14:44:31.157756']
['40499', '1831.00', '1198.00', '4095.00', '2018-11-01_14:44:31.209842']
['40519', '1809.00', '1197.00', '4095.00', '2018-11-01_14:44:31.260989']
['40539', '1831.00', '1195.00', '4095.00', '2018-11-01_14:44:31.312566']
['40559', '1824.00', '1192.00', '4095.00', '2018-11-01_14:44:31.363154']
['40579', '1826.00', '1200.00', '4095.00', '2018-11-01_14:44:31.414195']
['40599', '1826.00', '1199.00', '4095.00', '2018-11-01_14:44:31.466816']
['40619', '1837.00', '1177.00', '4095.00', '2018-11-01_14:44:31.516918']
['40639', '1829.00', '1200.00', '4095.00', '2018-11-01_14:44:31.568497']
['40659', '1836.00', '1197.00', '4095.00', '2018-11-01_14:44:31.619589']
['40679', '1838.00', '1200.00', '4095.00', '2018-11-01_14:44:31.672660']
['40699', '1841.00', '1200.00', '4095.00', '2018-11-01_14:44:31.722705']
['40719', '1840.00', '1200.00', '4095.00', '2018-11-01_14:44:31.774290']
['40739', '1850.00', '1200.00', '4095.00', '2018-11-01_14:44:31.827409']
['40759', '1856.00', '1197.00', '4095.00', '2018-11-01_14:44:31.876464']
['40779', '1851.00', '1196.00', '4095.00', '2018-11-01_14:44:31.927108']
['40799', '1849.00', '1200.00', '4095.00', '2018-11-01_14:44:31.979137']
['40819', '1858.00', '1202.00', '4095.00', '2018-11-01_14:44:32.031717']
['40839', '1867.00', '1211.00', '4095.00', '2018-11-01_14:44:32.082305']
['40859', '1871.00', '1200.00', '4095.00', '2018-11-01_14:44:32.134609']
['40879', '1870.00', '1170.00', '4095.00', '2018-11-01_14:44:32.186012']
['40899', '1869.00', '1187.00', '4095.00', '2018-11-01_14:44:32.237103']
['40919', '1872.00', '1215.00', '4095.00', '2018-11-01_14:44:32.287699']
['40939', '1877.00', '1197.00', '4095.00', '2018-11-01_14:44:32.339233']
['40959', '1874.00', '1200.00', '4095.00', '2018-11-01_14:44:32.390860']
['40979', '1881.00', '1197.00', '4095.00', '2018-11-01_14:44:32.450336']
['40999', '1889.00', '1200.00', '4095.00', '2018-11-01_14:44:32.501921']
['41019', '1888.00', '1200.00', '4095.00', '2018-11-01_14:44:32.553572']
['41039', '1904.00', '1255.00', '4095.00', '2018-11-01_14:44:32.606079']
['41059', '1899.00', '1200.00', '4095.00', '2018-11-01_14:44:32.656668']
['41079', '1910.00', '1200.00', '4095.00', '2018-11-01_14:44:32.710236']
['41099', '1915.00', '1207.00', '4095.00', '2018-11-01_14:44:32.760888']
['41119', '1915.00', '1205.00', '4095.00', '2018-11-01_14:44:32.810932']
['41139', '1911.00', '1200.00', '4095.00', '2018-11-01_14:44:32.860035']
['41159', '1906.00', '1210.00', '4095.00', '2018-11-01_14:44:32.910173']
['41179', '1905.00', '1212.00', '4095.00', '2018-11-01_14:44:32.960721']
['41199', '1904.00', '1216.00', '4095.00', '2018-11-01_14:44:33.011808']
['41219', '1903.00', '1222.00', '4095.00', '2018-11-01_14:44:33.060910']
['41239', '1899.00', '1233.00', '4095.00', '2018-11-01_14:44:33.111557']
['41259', '1903.00', '1203.00', '4095.00', '2018-11-01_14:44:33.160656']
['41279', '1891.00', '1225.00', '4095.00', '2018-11-01_14:44:33.211200']
['41299', '1879.00', '1222.00', '4095.00', '2018-11-01_14:44:33.262287']
['41319', '1895.00', '1216.00', '4095.00', '2018-11-01_14:44:33.311452']
['41339', '1902.00', '1216.00', '4095.00', '2018-11-01_14:44:33.362479']
['41359', '1891.00', '1210.00', '4095.00', '2018-11-01_14:44:33.413069']
['41379', '1901.00', '1209.00', '4095.00', '2018-11-01_14:44:33.465154']
['41399', '1899.00', '1210.00', '4095.00', '2018-11-01_14:44:33.515247']
['41419', '1895.00', '1209.00', '4095.00', '2018-11-01_14:44:33.565902']
['41439', '1893.00', '1188.00', '4095.00', '2018-11-01_14:44:33.616974']
['41459', '1893.00', '1210.00', '4095.00', '2018-11-01_14:44:33.666528']
['41479', '1883.00', '1205.00', '4095.00', '2018-11-01_14:44:33.716628']
['41499', '1883.00', '1208.00', '4095.00', '2018-11-01_14:44:33.767739']
['41519', '1874.00', '1211.00', '4095.00', '2018-11-01_14:44:33.817922']
['41539', '1876.00', '1208.00', '4095.00', '2018-11-01_14:44:33.870386']
['41559', '1872.00', '1206.00', '4095.00', '2018-11-01_14:44:33.919984']
['41579', '1859.00', '1200.00', '4095.00', '2018-11-01_14:44:33.969641']
['41599', '1866.00', '1201.00', '4095.00', '2018-11-01_14:44:34.021167']
['41619', '1861.00', '1200.00', '4095.00', '2018-11-01_14:44:34.072799']
['41639', '1855.00', '1179.00', '4095.00', '2018-11-01_14:44:34.123344']
['41659', '1842.00', '1204.00', '4095.00', '2018-11-01_14:44:34.172984']
['41679', '1853.00', '1203.00', '4095.00', '2018-11-01_14:44:34.223039']
['41699', '1842.00', '1201.00', '4095.00', '2018-11-01_14:44:34.273185']
['41719', '1842.00', '1203.00', '4095.00', '2018-11-01_14:44:34.323731']
['41739', '1843.00', '1200.00', '4095.00', '2018-11-01_14:44:34.374320']
['41759', '1854.00', '1200.00', '4095.00', '2018-11-01_14:44:34.422982']
['41779', '1841.00', '1200.00', '4095.00', '2018-11-01_14:44:34.472530']
['41799', '1838.00', '1200.00', '4095.00', '2018-11-01_14:44:34.523121']
['41819', '1834.00', '1202.00', '4095.00', '2018-11-01_14:44:34.573217']
['41839', '1831.00', '1200.00', '4095.00', '2018-11-01_14:44:34.623887']
['41859', '1837.00', '1209.00', '4095.00', '2018-11-01_14:44:34.673942']
['41879', '1837.00', '1206.00', '4095.00', '2018-11-01_14:44:34.724003']
['41899', '1835.00', '1201.00', '4095.00', '2018-11-01_14:44:34.775585']
['41919', '1830.00', '1199.00', '4095.00', '2018-11-01_14:44:34.824210']
['41939', '1825.00', '1202.00', '4095.00', '2018-11-01_14:44:34.875782']
['41959', '1838.00', '1203.00', '4095.00', '2018-11-01_14:44:34.925376']
['41979', '1838.00', '1194.00', '4095.00', '2018-11-01_14:44:34.974516']
['41999', '1826.00', '1199.00', '4095.00', '2018-11-01_14:44:35.024107']
['42019', '1839.00', '1196.00', '4095.00', '2018-11-01_14:44:35.075167']
['42039', '1829.00', '1200.00', '4095.00', '2018-11-01_14:44:35.125266']
['42059', '1837.00', '1198.00', '4095.00', '2018-11-01_14:44:35.176403']
['42079', '1833.00', '1197.00', '4095.00', '2018-11-01_14:44:35.228487']
['42099', '1827.00', '1198.00', '4095.00', '2018-11-01_14:44:35.281058']
['42119', '1835.00', '1196.00', '4095.00', '2018-11-01_14:44:35.333178']
['42139', '1831.00', '1200.00', '4095.00', '2018-11-01_14:44:35.383680']
['42159', '1840.00', '1196.00', '4095.00', '2018-11-01_14:44:35.434273']
['42179', '1839.00', '1187.00', '4095.00', '2018-11-01_14:44:35.484862']
['42199', '1829.00', '1197.00', '4095.00', '2018-11-01_14:44:35.529850']
['42219', '1838.00', '1200.00', '4095.00', '2018-11-01_14:44:35.582623']
['42239', '1837.00', '1195.00', '4095.00', '2018-11-01_14:44:35.634701']
['42259', '1825.00', '1200.00', '4095.00', '2018-11-01_14:44:35.685749']
['42279', '1829.00', '1201.00', '4095.00', '2018-11-01_14:44:35.737846']
['42299', '1831.00', '1199.00', '4095.00', '2018-11-01_14:44:35.789903']
['42319', '1827.00', '1200.00', '4095.00', '2018-11-01_14:44:35.840493']
['42339', '1827.00', '1198.00', '4095.00', '2018-11-01_14:44:35.892084']
['42359', '1835.00', '1200.00', '4095.00', '2018-11-01_14:44:35.942214']
['42379', '1834.00', '1200.00', '4095.00', '2018-11-01_14:44:35.991278']
['42399', '1839.00', '1200.00', '4095.00', '2018-11-01_14:44:36.042858']
['42419', '1842.00', '1200.00', '4095.00', '2018-11-01_14:44:36.094001']
['42439', '1842.00', '1200.00', '4095.00', '2018-11-01_14:44:36.144101']
['42459', '1851.00', '1200.00', '4095.00', '2018-11-01_14:44:36.194138']
['42479', '1853.00', '1201.00', '4095.00', '2018-11-01_14:44:36.246269']
['42499', '1843.00', '1202.00', '4095.00', '2018-11-01_14:44:36.296817']
['42519', '1835.00', '1200.00', '4095.00', '2018-11-01_14:44:36.347406']
['42539', '1841.00', '1200.00', '4095.00', '2018-11-01_14:44:36.397997']
['42559', '1846.00', '1200.00', '4095.00', '2018-11-01_14:44:36.449100']
['42579', '1840.00', '1200.00', '4095.00', '2018-11-01_14:44:36.500192']
['42599', '1818.00', '1200.00', '4095.00', '2018-11-01_14:44:36.552751']
