date,sensor,value,time
30-10-2018,Breath sensor, 632.00,23:59:04.545000
30-10-2018,Breath sensor, 640.00,23:59:05.073000
30-10-2018,Breath sensor, 640.00,23:59:05.574000
30-10-2018,Breath sensor, 640.00,23:59:06.039000
30-10-2018,Breath sensor, 637.00,23:59:06.560000
30-10-2018,Breath sensor, 640.00,23:59:07.039000
30-10-2018,Breath sensor, 637.00,23:59:07.555000
30-10-2018,Breath sensor, 633.00,23:59:08.081000
30-10-2018,Breath sensor, 640.00,23:59:08.583000
30-10-2018,Breath sensor, 640.00,23:59:09.086000
30-10-2018,Breath sensor, 635.00,23:59:09.542000
30-10-2018,Breath sensor, 636.00,23:59:10.082000
30-10-2018,Breath sensor, 636.00,23:59:10.577000
30-10-2018,Breath sensor, 640.00,23:59:11.087000
30-10-2018,Breath sensor, 635.00,23:59:11.543000
30-10-2018,Breath sensor, 638.00,23:59:12.039000
30-10-2018,Breath sensor, 640.00,23:59:12.560000
30-10-2018,Breath sensor, 640.00,23:59:13.062000
30-10-2018,Breath sensor, 640.00,23:59:13.558000
30-10-2018,Breath sensor, 640.00,23:59:14.090000
30-10-2018,Breath sensor, 640.00,23:59:14.543000
30-10-2018,Breath sensor, 636.00,23:59:15.051000
30-10-2018,Breath sensor, 640.00,23:59:15.540000
30-10-2018,Breath sensor, 640.00,23:59:16.066000
30-10-2018,Breath sensor, 637.00,23:59:16.571000
30-10-2018,Breath sensor, 640.00,23:59:17.063000
30-10-2018,Breath sensor, 640.00,23:59:17.572000
30-10-2018,Breath sensor, 633.00,23:59:18.061000
30-10-2018,Breath sensor, 635.00,23:59:18.572000
