date,sensor,value,time
30-10-2018,GSR sensor, 4095.00,23:59:04.532000
30-10-2018,GSR sensor, 4095.00,23:59:05.050000
30-10-2018,GSR sensor, 4095.00,23:59:05.552000
30-10-2018,GSR sensor, 4095.00,23:59:06.025000
30-10-2018,GSR sensor, 4095.00,23:59:06.538000
30-10-2018,GSR sensor, 4095.00,23:59:07.026000
30-10-2018,GSR sensor, 4095.00,23:59:07.533000
30-10-2018,GSR sensor, 4095.00,23:59:08.037000
30-10-2018,GSR sensor, 4095.00,23:59:08.550000
30-10-2018,GSR sensor, 4095.00,23:59:09.052000
30-10-2018,GSR sensor, 4095.00,23:59:09.526000
30-10-2018,GSR sensor, 4095.00,23:59:10.052000
30-10-2018,GSR sensor, 4095.00,23:59:10.555000
30-10-2018,GSR sensor, 4095.00,23:59:11.063000
30-10-2018,GSR sensor, 4095.00,23:59:11.526000
30-10-2018,GSR sensor, 4095.00,23:59:12.025000
30-10-2018,GSR sensor, 4095.00,23:59:12.535000
30-10-2018,GSR sensor, 4095.00,23:59:13.036000
30-10-2018,GSR sensor, 4095.00,23:59:13.534000
30-10-2018,GSR sensor, 4095.00,23:59:14.037000
30-10-2018,GSR sensor, 4095.00,23:59:14.528000
30-10-2018,GSR sensor, 4095.00,23:59:15.032000
30-10-2018,GSR sensor, 4095.00,23:59:15.524000
30-10-2018,GSR sensor, 4095.00,23:59:16.040000
30-10-2018,GSR sensor, 4095.00,23:59:16.543000
30-10-2018,GSR sensor, 4095.00,23:59:17.038000
30-10-2018,GSR sensor, 4095.00,23:59:17.542000
30-10-2018,GSR sensor, 4095.00,23:59:18.037000
30-10-2018,GSR sensor, 4095.00,23:59:18.548000
