date,sensor,value,time
29-10-2018,Pulse sensor, 1558.00,10:41:31.313000
29-10-2018,GSR sensor, 545.00,10:41:31.330000
29-10-2018,Breath sensor, 673.00,10:41:31.349000
29-10-2018,Pulse sensor, 1664.00,10:41:31.811000
29-10-2018,GSR sensor, 552.00,10:41:31.828000
29-10-2018,Breath sensor, 672.00,10:41:31.846000
29-10-2018,Pulse sensor, 1472.00,10:41:32.311000
29-10-2018,GSR sensor, 547.00,10:41:32.328000
29-10-2018,Breath sensor, 672.00,10:41:32.346000
29-10-2018,Pulse sensor, 1535.00,10:41:32.812000
29-10-2018,GSR sensor, 550.00,10:41:32.829000
29-10-2018,Breath sensor, 674.00,10:41:32.847000
29-10-2018,Pulse sensor, 1520.00,10:41:33.312000
29-10-2018,GSR sensor, 547.00,10:41:33.328000
29-10-2018,Breath sensor, 674.00,10:41:33.346000
29-10-2018,Pulse sensor, 2799.00,10:41:33.813000
29-10-2018,GSR sensor, 544.00,10:41:33.829000
29-10-2018,Breath sensor, 674.00,10:41:33.847000
29-10-2018,Pulse sensor, 1559.00,10:41:34.311000
29-10-2018,GSR sensor, 550.00,10:41:34.329000
29-10-2018,Breath sensor, 670.00,10:41:34.347000
29-10-2018,Pulse sensor, 1904.00,10:41:34.811000
29-10-2018,GSR sensor, 528.00,10:41:34.828000
29-10-2018,Breath sensor, 674.00,10:41:34.847000
29-10-2018,Pulse sensor, 2718.00,10:41:35.311000
29-10-2018,GSR sensor, 528.00,10:41:35.328000
29-10-2018,Breath sensor, 674.00,10:41:35.346000
29-10-2018,Pulse sensor, 1535.00,10:41:35.812000
29-10-2018,GSR sensor, 528.00,10:41:35.829000
29-10-2018,Breath sensor, 676.00,10:41:35.847000
29-10-2018,Pulse sensor, 1680.00,10:41:36.312000
29-10-2018,GSR sensor, 528.00,10:41:36.328000
29-10-2018,Breath sensor, 672.00,10:41:36.346000
29-10-2018,Pulse sensor, 2453.00,10:41:36.811000
29-10-2018,GSR sensor, 532.00,10:41:36.827000
29-10-2018,Breath sensor, 672.00,10:41:36.845000
29-10-2018,Pulse sensor, 1521.00,10:41:37.312000
29-10-2018,GSR sensor, 528.00,10:41:37.329000
